gene	log2FC
GATA3	1.05
MET	-3.221
GATA3	-4.703
TERT	-1.308
HRAS	2.387
NRAS	1.512
KRAS	-0.333
BRCA1	-0.478
TP53	1.764
PCNA	-0.476
VEGFA	-2.6
JUN	2.54
TERT	-0.822
FGFR2	-0.339
FGFR2	-2.55
KIT	4.817
RB1	0.451
FGFR3	-0.811
CDH1	3.439
IL6	-4.415
NOTCH1	4.548
ABL1	1.098
HRAS	-2.42
GATA3	3.748
SHC1	-4.064
CDK4	-2.344
PTEN	0.958
FGFR1	-4.551
AKT1	-2.433
JUN	4.118
CCNE1	-3.145
CXCL8	0.64
AKT1	-2.799
HRAS	-2.968
JUN	-0.9
PDGFRA	2.169
MDM2	-0.152
MET	2.686
RB1	-1.542
GRB2	-4.447
CCND1	-2.469
JAK2	3.911
FGFR2	0.142
E2F1	-3.892
LCK	3.68
FGFR2	-3.399
CDKN1B	4.718
HIF1A	-2.516
EGFR	-3.101
BRAF	-4.716
CDK4	-0.757
CDKN1A	-1.384
SRC	-4.873
CDKN1B	-1.047
HRAS	3.504
BRAF	3.768
MDM2	0.759
KIT	4.267
KRAS	3.612
SHC1	-1.19
RAF1	-0.676
PTEN	-2.643
MAP2K1	0.483
KRAS	-4.384
CDK6	3.142
KRAS	2.643
PTEN	4.293
CCNE1	-4.64
BRCA2	4.264
LCK	-0.26
CCNE1	4.685
SHC1	-1.385
RAF1	2.401
SRC	-2.759
ABL1	2.288
FGFR2	0.484
REL	4.451
SRC	-0.759
MAPK1	-0.108
BRCA2	2.367
CDKN1B	-2.734
SRC	0.97
CDK6	-3.874
IL10	-4.034
MET	-0.412
MKI67	-0.927
IL10	4.082
GATA3	2.809
KIT	-0.592
BRAF	2.556
APC	0.31
SYK	3.307
GRB2	-1.088
NRAS	3.731
CDKN2A	3.602
MYC	0.883
APC	-4.371
HIF1A	2.522
CXCL8	3.512
BRCA1	-0.915
STAT3	-4.732
ERBB2	-2.694
CDH1	-1.434
MAP2K2	-1.469
FGFR2	3.283
GATA3	-3.211
CDH1	1.203
MAPK1	-2.279
MAPK1	-1.687
GRB2	1.941
MAPK1	4.431
CDK6	0.352
MAPK3	-0.804
PTEN	-0.259
SMAD4	-0.661
ERBB2	1.369
MDM2	3.002
SHC1	-1.577
NOTCH1	2.717
CDKN2A	-2.024
EGFR	1.779
LCK	3.909
STAT3	-2.02
MAP2K1	-1.045
IL6	4.113
MKI67	-3.699
MAP2K1	4.466
HRAS	3.127
SYK	3.63
RB1	4.29
PDGFRA	-2.359
FGFR2	3.548
GATA3	-3.841
LCK	1.076
RB1	-0.974
BRAF	-1.88
CDKN1A	-4.8
FOS	3.761
NFKB1	4.788
TERT	-0.073
CCNE1	0.547
LCK	1.392
BRCA2	-0.325
HRAS	1.72
TERT	1.042
VEGFA	-0.851
GATA3	3.809
BRAF	1.325
IL6	2.037
TNF	-0.388
TNF	-2.667
APC	0.223
GRB2	-0.746
MDM2	2.016
VEGFA	0.191
CCNE1	-4.929
E2F1	-4.734
CCNE1	4.917
PDGFRA	4.134
MKI67	-4.126
E2F2	-1.057
CDH1	-2.479
HIF1A	-1.346
BRAF	-4.508
NRAS	0.55
VHL	-3.841
RB1	2.649
TNF	2.518
EGFR	-1.6
CXCL8	-3.032
REL	2.573
MDM2	-0.408
CDKN1B	0.357
KIT	1.215
FOS	3.22
TP53	3.588
KRAS	4.207
HIF1A	2.878
NOTCH1	0.233
PTEN	1.932
HRAS	-2.03
MKI67	-1.986
MKI67	-3.49
GRB2	-4.045
MAP2K1	2.564
GATA3	3.495
FOS	4.841
GATA3	4.71
FGFR3	-4.528
PTEN	-3.613
SHC1	-1.011
SOS1	-4.425
LCK	-3.96
FGFR1	-4.636
PTEN	3.56
NRAS	3.97
JAK2	1.208
MET	1.592
HIF1A	3.375
KIT	-2.715
CDK4	-1.685
SHC1	2.524
FOS	-2.365
VHL	0.468
PCNA	-4.336
HIF1A	1.564
BRCA2	1.42
SMAD4	2.924
PTEN	-0.719
CDKN1B	4.999
NOTCH1	1.068
AKT1	4.326
GATA3	-4.986
PDGFRA	4.937
FGFR2	-3.865
CCNE1	3.41
NOTCH1	4.181
ERBB2	-2.851
SRC	2.253
E2F2	-1.981
JUN	-0.108
PDGFRA	-2.905
MYC	-3.338
HIF1A	-1.081
TNF	-0.95
SHC1	-1.469
SMAD4	1.51
MYC	-0.53
JUN	2.567
NOTCH1	3.737
MAP2K2	-4.249
TERT	-1.588
KIT	-2.863
MAPK1	-3.423
ERBB2	1.85
CCNE1	-2.332
SMAD4	1.033
CDK6	0.055
NRAS	1.835
JAK2	4.607
E2F2	-3.906
HIF1A	1.581
CDK2	4.523
MYC	4.356
APC	-2.448
BRAF	2.716
NFKB1	-0.88
SRC	3.874
RB1	1.305
NFKB1	4.983
SMAD4	-2.148
KRAS	4.484
MAP2K2	1.237
CDH1	4.026
CCND1	-0.063
E2F2	-2.819
SOS1	0.924
CDK4	3.723
CDK6	0.295
ERBB2	-2.898
REL	-1.936
HIF1A	1.821
TP53	3.667
CXCL8	-4.221
CDKN2A	0.468
EGFR	2.403
TNF	2.016
CDKN1A	2.567
SYK	-3.679
CDKN2A	-0.429
SRC	2.769
EGFR	-2.165
MAP2K2	-2.749
KRAS	-4.256
FGFR2	-2.959
KIT	4.716
CXCL8	-0.156
REL	3.345
REL	-3.128
NRAS	-0.05
REL	-2.094
MAPK3	-3.823
IL10	-0.129
EGFR	4.298
PIK3CA	-3.157
VHL	-1.817
E2F1	3.893
GRB2	-0.049
GRB2	2.517
NFKB1	-3.232
BRCA2	2.023
IL6	1.573
CCNE1	0.277
MDM2	1.515
HIF1A	0.522
MDM2	2.442
CCND1	-1.551
FGFR3	2.998
CDKN1A	-3.612
JAK2	-4.21
LCK	-0.635
SOS1	4.21
MAP2K2	4.09
NRAS	-4.609
STAT3	2.441
NOTCH1	-2.833
CXCL8	4.425
CCND1	-3.212
ABL1	2.323
STAT3	-4.814
ABL1	1.298
FGFR3	0.445
SMAD4	0.439
EGFR	4.595
VHL	1.823
ERBB2	-0.195
HIF1A	-3.505
NOTCH1	-4.638
AKT1	4.246
CDKN2A	3.253
AKT1	0.078
KIT	-1.295
RAF1	-3.33
PTEN	-3.407
HIF1A	0.724
CDH1	3.365
FOS	-0.209
NRAS	-3.96
LCK	-1.063
E2F2	1.187
SYK	3.824
TP53	-4.321
GRB2	3.009
CDKN2A	1.51
IL10	-2.964
FGFR2	1.592
NFKB1	2.725
AKT1	-0.513
NOTCH1	-3.552
MDM2	2.671
VEGFA	-1.391
E2F1	-2.668
FGFR3	-1.946
FGFR3	-4.903
JUN	-0.802
NFKB1	0.088
EGFR	-2.823
FGFR1	-4.811
MAPK3	-4.29
NRAS	0.107
AKT1	-3.783
PIK3CA	-3.622
FGFR1	-3.411
APC	2.168
TNF	2.809
FOS	-0.534
APC	-1.455
MAPK3	2.351
IL10	2.314
TNF	-4.837
VEGFA	-0.39
PIK3CA	-2.987
FOS	-1.688
PCNA	0.676
MKI67	-0.785
NFKB1	0.579
MAP2K1	3.908
MAPK3	0.217
HRAS	3.933
KIT	1.331
VHL	4.417
HRAS	4.836
MAP2K1	4.862
BRCA2	-4.016
PDGFRA	-3.182
MKI67	1.456
NFKB1	-3.709
JUN	1.544
APC	-0.507
HRAS	-4.89
LCK	-2.569
MKI67	-4.377
FGFR2	3.902
CDK6	2.794
BRAF	1.629
GATA3	2.489
SYK	1.812
TP53	-1.816
MAPK3	4.98
KRAS	2.247
PTEN	-1.831
MAPK1	3.579
PCNA	-4.992
NOTCH1	2.596
FGFR3	4.382
NFKB1	1.029
PCNA	-0.991
MAP2K1	-3.041
CCND1	-3.286
GRB2	-4.027
PTEN	1.636
IL10	2.472
MKI67	3.548
MYC	-1.212
MYC	-2.402
CXCL8	-3.595
JAK2	-3.987
MAPK1	-0.556
CCNE1	3.565
NRAS	-4.643
STAT3	0.22
TP53	3.202
LCK	3.57
MYC	-4.59
MAPK3	1.57
CDK6	1.512
TNF	0.426
CCNE1	-0.946
NRAS	1.359
REL	-3.969
TP53	1.046
IL10	-2.0
GATA3	-3.429
CDKN1A	-0.654
KIT	-4.739
PIK3CA	3.065
FGFR1	-0.074
VHL	-3.926
IL10	2.285
AKT1	1.557
MAPK1	4.774
PIK3CA	0.513
SRC	4.615
BRCA2	-3.963
KIT	0.342
BRCA1	-0.991
CCND1	3.869
SOS1	4.119
CCND1	3.781
MAP2K1	-0.148
MAP2K1	3.763
JUN	4.637
TP53	0.261
GATA3	1.367
BRCA2	-0.983
VHL	2.174
CDK4	-1.528
REL	-4.736
IL6	-3.905
KRAS	-2.126
NFKB1	-1.743
MAP2K2	-4.956
CDK4	4.779
JAK2	3.23
E2F1	-4.373
TNF	-1.974
MDM2	-0.259
JUN	0.512
APC	-0.452
MYC	-4.97
CCNE1	2.415
TP53	0.739
GRB2	-1.646
NRAS	-1.057
PDGFRA	4.654
AKT1	0.72
CCNE1	0.028
SMAD4	-1.422
E2F2	-2.686
PIK3CA	2.395
AKT1	0.269
FGFR2	-3.856
MAPK3	-1.254
NFKB1	1.453
HRAS	2.059
BRCA1	-4.902
NRAS	1.11
PTEN	1.313
KIT	-2.782
AKT1	-0.421
ABL1	-3.87
IL10	-1.458
AKT1	-0.887
FOS	2.631
MYC	0.022
CCNE1	-3.216
GRB2	-4.455
KRAS	0.083
STAT3	-3.265
HIF1A	1.573
NOTCH1	0.062
FGFR2	3.052
AKT1	-1.467
FGFR1	4.19
MAP2K1	-2.288
SYK	3.065
CDH1	-4.158
CDK2	-4.881
E2F1	1.802
VHL	-1.063
VEGFA	4.747
AKT1	0.146
TERT	4.997
CDK6	3.556
FGFR2	-4.784
CDK6	0.367
NOTCH1	-1.157
APC	0.139
FGFR3	-2.4
CDH1	0.896
KRAS	0.578
BRCA2	0.372
SRC	1.262
MKI67	-1.786
PIK3CA	4.683
GRB2	3.629
MET	-0.016
CDH1	-1.595
SMAD4	-3.949
FGFR1	-0.15
CDK4	-4.444
CXCL8	-4.799
MAP2K1	0.196
CDKN1A	3.02
CDK2	-4.885
NOTCH1	3.589
TP53	-3.717
MAP2K2	0.704
MAPK1	-2.425
SOS1	-3.086
CDK6	-4.548
CDH1	1.07
PDGFRA	3.05
BRAF	0.962
KIT	-1.216
STAT3	3.818
VHL	-0.863
CXCL8	1.269
APC	-3.663
RB1	-4.54
CDH1	1.604
NOTCH1	3.684
BRCA2	-2.207
FGFR1	1.381
CDKN1B	-4.247
ABL1	3.589
CCND1	4.897
ABL1	-1.287
IL10	2.462
FGFR1	-0.66
NOTCH1	-4.842
RB1	0.692
EGFR	0.643
VEGFA	-2.184
SHC1	3.68
CXCL8	1.541
SOS1	1.176
MET	1.686
KIT	4.393
STAT3	4.724
FGFR3	-1.875
KIT	-2.493
FGFR3	1.182
JUN	-1.289
ERBB2	0.052
JAK2	1.909
MYC	1.829
CXCL8	3.75
RB1	1.844
CDH1	-1.098
BRAF	2.514
SMAD4	1.695
STAT3	-4.039
NOTCH1	-4.861
JUN	0.342
PDGFRA	1.304
HRAS	-0.358
MAPK3	3.735
RB1	3.989
MAPK1	1.822
SOS1	-3.976
MET	1.655
SRC	-0.619
SMAD4	-0.197
BRCA2	2.216
RB1	-0.459
TERT	-2.334
JAK2	1.994
MYC	3.887
CXCL8	4.072
FOS	-4.272
SMAD4	3.673
NFKB1	-0.772
CDK4	-2.67
KRAS	1.414
APC	0.579
CXCL8	4.516
FOS	0.628
MDM2	-0.036
CDK2	4.221
MAP2K1	3.491
CDKN1B	4.614
MET	2.444
SOS1	4.46
MAP2K1	-3.234
ABL1	0.753
NFKB1	3.011
MET	-2.75
AKT1	-2.887
KIT	-3.286
JUN	1.51
EGFR	2.889
REL	2.344
TERT	-0.838
SYK	4.365
MAPK1	1.074
JUN	4.014
JAK2	-1.725
CDK4	-4.325
E2F2	1.202
RAF1	2.245
BRCA1	-1.336
BRCA1	-0.95
TERT	-1.601
FGFR3	-4.704
EGFR	-2.086
MAP2K1	-0.638
TNF	2.706
NFKB1	2.987
FGFR3	4.07
NFKB1	1.005
FGFR1	0.572
STAT3	-0.31
IL6	0.335
PDGFRA	0.975
MAPK1	-3.41
MYC	0.182
BRCA1	0.799
SRC	-3.124
MAP2K2	-0.461
JUN	1.842
FGFR3	2.3
LCK	3.285
NOTCH1	3.022
IL6	-2.406
E2F1	2.726
CCNE1	0.596
MKI67	2.467
SMAD4	4.036
PCNA	4.75
KIT	-0.268
IL6	3.69
HRAS	4.171
APC	-4.318
CDH1	0.656
CDK2	-4.926
PDGFRA	0.041
LCK	0.181
NRAS	-0.259
MET	1.807
BRCA1	2.674
EGFR	-0.863
TP53	-3.489
EGFR	-2.211
E2F2	1.263
STAT3	1.34
CDK2	2.274
BRAF	2.088
SYK	2.919
HIF1A	-1.449
SOS1	0.881
HIF1A	-2.546
CDK2	4.286
CDH1	-3.456
ERBB2	0.531
CXCL8	0.858
ABL1	-3.658
REL	-4.09
IL10	-1.023
SRC	0.162
AKT1	0.068
ABL1	-4.088
CDH1	-2.256
NFKB1	2.271
NRAS	-2.102
E2F1	-4.683
PIK3CA	2.239
MYC	-1.496
MAP2K2	0.807
MET	2.314
BRAF	-3.963
PDGFRA	1.951
FGFR2	-1.881
LCK	-3.952
MKI67	1.314
E2F2	-2.552
MAPK1	2.029
PDGFRA	1.421
MAP2K1	-1.338
E2F2	3.908
CDH1	-0.152
HRAS	-1.33
SYK	4.948
MAP2K2	2.475
APC	-1.832
CCND1	-3.088
EGFR	-3.469
NRAS	4.184
CDKN1B	-1.362
SOS1	4.295
TP53	2.738
BRCA2	-1.649
NOTCH1	-0.233
SHC1	1.18
RAF1	2.553
SHC1	4.489
SRC	-4.875
CDK6	1.499
BRCA2	3.947
MYC	-1.067
MAPK1	-3.373
JAK2	-4.685
NFKB1	3.266
TNF	-1.378
MAPK3	-1.045
SMAD4	4.312
CDK2	1.33
TP53	-3.531
CXCL8	2.933
CDK2	-2.96
PDGFRA	-4.298
NOTCH1	-0.946
VEGFA	4.324
IL6	-2.317
BRCA1	-3.75
FGFR2	-4.726
TERT	-4.285
FGFR2	-2.314
TP53	-0.285
CDK6	-0.355
MAPK3	0.806
NFKB1	4.095
E2F2	0.313
LCK	1.652
MDM2	0.291
VEGFA	2.188
HRAS	-2.501
APC	2.626
RAF1	-4.993
BRAF	4.619
GRB2	-2.664
CXCL8	4.531
MAP2K1	-1.136
REL	1.424
MET	0.759
SOS1	-3.074
MET	-0.733
FGFR2	-3.636
VEGFA	-4.133
KRAS	3.316
BRCA2	1.377
SMAD4	4.034
PTEN	4.404
CDKN1A	0.464
MAPK1	-2.336
HRAS	2.639
KRAS	-3.893
NRAS	2.81
PCNA	2.489
GRB2	1.492
MDM2	1.311
E2F1	0.784
TNF	-1.476
HIF1A	1.666
MDM2	2.991
CDK4	3.578
SYK	-4.19
IL10	0.433
KIT	-4.641
E2F2	0.471
ABL1	-2.597
IL6	4.894
VEGFA	1.016
PCNA	-2.363
CDK2	-3.014
TNF	-1.174
AKT1	3.765
HIF1A	-2.619
MAP2K2	1.744
SHC1	-2.423
CDKN1A	-4.628
CDK4	-4.515
HRAS	0.846
IL10	-4.355
MAP2K2	4.753
E2F1	-3.475
CDKN1A	-1.407
CDH1	-3.453
CCNE1	3.009
PCNA	4.428
SMAD4	-4.886
TNF	-0.328
VHL	1.516
GRB2	4.132
MKI67	2.283
RAF1	0.212
BRCA1	-4.87
HIF1A	0.719
BRCA2	-4.959
E2F1	-2.898
SOS1	-1.913
KRAS	-1.998
RB1	-2.325
NFKB1	1.716
MYC	2.789
CXCL8	0.718
NFKB1	-1.27
HIF1A	0.032
LCK	-2.739
CDKN1B	-1.693
CDKN1B	-4.808
JAK2	-0.281
SOS1	-2.679
KRAS	-2.079
GRB2	1.45
MAPK3	0.103
CDKN1A	-1.213
PIK3CA	1.926
HIF1A	-4.92
SYK	2.361
ABL1	3.21
CCNE1	-1.469
LCK	-2.238
RAF1	-0.752
CDKN1A	3.708
ERBB2	-0.115
AKT1	2.155
PTEN	2.933
BRCA1	2.082
VEGFA	1.215
IL10	-2.826
BRCA1	-3.581
MKI67	-4.702
NOTCH1	3.271
HRAS	1.476
TNF	-1.072
RAF1	-3.843
BRAF	-1.97
SMAD4	1.347
GRB2	-2.862
CDK4	-2.519
JUN	-2.513
NFKB1	-0.777
FGFR3	2.073
FGFR2	0.395
SRC	-2.857
NRAS	3.151
IL10	-0.891
PTEN	0.737
EGFR	1.243
CXCL8	2.506
APC	-0.727
FGFR2	0.333
STAT3	-3.578
IL10	3.618
MET	2.187
BRCA1	1.79
MET	-0.519
BRCA1	-4.343
BRAF	0.299
BRAF	4.378
CDK6	-2.669
EGFR	-4.229
E2F2	4.103
STAT3	3.922
IL6	-3.014
FGFR2	1.893
CDKN1B	-0.88
FGFR2	2.335
BRCA1	-3.93
ABL1	2.256
CDK6	4.09
FGFR2	1.502
SRC	4.833
STAT3	2.086
MYC	-4.41
E2F2	-4.704
NOTCH1	3.173
CDK2	-1.01
GATA3	4.171
BRAF	-2.498
FGFR1	0.967
CDKN1A	4.018
NRAS	0.236
RAF1	-2.277
TP53	3.393
CDK2	-0.406
STAT3	1.38
FGFR1	4.515
TNF	4.787
CCNE1	1.906
FOS	4.279
BRCA2	-3.714
FGFR2	4.807
CXCL8	-1.272
GRB2	0.64
FGFR2	-1.7
APC	2.284
MET	4.569
E2F1	-3.361
CDK4	3.209
AKT1	-3.207
VEGFA	1.623
MAPK1	-3.689
MET	4.249
RB1	-1.249
APC	2.166
IL6	-4.041
MDM2	-1.96
RAF1	-4.134
IL10	-3.041
LCK	-1.343
TERT	-0.727
MET	1.635
FOS	-1.716
SRC	-1.835
BRAF	-1.25
PIK3CA	2.699
SMAD4	-1.748
LCK	-1.378
TNF	-1.66
MYC	-3.428
GATA3	-2.805
CDK6	1.635
HIF1A	-0.487
GRB2	2.265
IL6	-3.197
CDK4	-3.651
TERT	-2.143
FGFR2	1.984
E2F2	3.559
BRAF	-2.302
PIK3CA	0.501
STAT3	-2.7
BRAF	-0.193
TERT	-2.766
RAF1	-3.178
CDH1	-1.812
MAP2K1	4.998
MET	1.162
PTEN	-3.859
NFKB1	-1.287
TERT	4.027
FGFR1	3.836
GRB2	2.112
SHC1	-1.446
IL10	-1.442
NRAS	4.696
IL6	-1.814
NRAS	2.239
AKT1	-4.86
ABL1	-2.065
SMAD4	3.119
NFKB1	-2.619
RB1	-4.507
JUN	-3.386
MDM2	-0.143
KIT	0.11
CCNE1	-3.719
MET	-4.387
HRAS	-4.347
MYC	-3.221
E2F2	2.134
EGFR	3.981
REL	0.016
MKI67	-3.291
MET	1.097
HRAS	-2.063
NFKB1	3.955
CCNE1	-4.74
BRCA1	-1.013
JUN	4.948
GATA3	-3.374
IL6	-3.667
FGFR3	-0.306
VHL	2.83
KIT	1.544
GATA3	4.658
FOS	2.216
BRAF	-3.502
GATA3	-3.474
JAK2	-3.101
HIF1A	4.026
ERBB2	-3.782
JAK2	3.286
MYC	-1.218
RB1	0.301
TP53	-0.372
KIT	-2.556
CDKN2A	-4.693
RB1	-0.25
FGFR2	4.42
E2F2	3.685
CDKN2A	-4.552
SMAD4	-4.385
PDGFRA	1.146
CCNE1	1.467
AKT1	-3.819
CDK6	2.338
IL10	0.251
KIT	1.847
CDH1	1.446
SRC	-2.54
IL6	-1.079
HRAS	-2.622
FGFR1	4.166
AKT1	-3.444
NRAS	-3.109
KIT	4.841
TP53	1.415
CDKN2A	2.714
PCNA	-2.745
STAT3	3.53
JAK2	-2.462
NFKB1	-4.528
MAPK3	2.683
SRC	-1.093
GATA3	3.293
CDK2	-1.85
CDK6	-4.125
CDK6	4.639
TNF	1.841
CXCL8	0.759
RAF1	-0.864
EGFR	3.273
MAP2K1	2.638
HRAS	-4.917
FGFR3	-3.165
RB1	-4.462
APC	-1.857
KIT	-1.752
FGFR1	-3.203
CCND1	3.41
HRAS	-2.52
FGFR3	2.323
STAT3	-2.442
CCND1	-3.264
BRCA2	2.988
CDK4	-0.291
CCNE1	-3.109
HIF1A	4.663
CDK6	1.635
REL	1.06
RAF1	-3.756
STAT3	1.337
PIK3CA	-0.116
MYC	-0.056
MAPK3	0.743
EGFR	1.19
MAPK3	3.495
CDKN1A	-0.667
TERT	-0.642
EGFR	0.149
PTEN	-4.996
IL10	0.74
MDM2	-2.299
MAP2K1	-4.952
SYK	0.701
SHC1	-1.225
ERBB2	-3.982
CDKN2A	2.074
TP53	1.693
PDGFRA	-2.544
FGFR2	-1.835
CDKN1A	-2.204
CDH1	-2.559
MAP2K1	2.694
FOS	-2.443
CDK6	-0.222
TNF	-3.192
VHL	1.163
MAP2K1	3.718
CDH1	4.647
MAP2K2	-1.208
PTEN	-3.576
AKT1	1.167
CCND1	-2.935
BRCA2	-3.398
FGFR3	-1.937
VHL	-3.861
TERT	4.444
JUN	-0.313
SRC	-2.265
RB1	4.119
SHC1	-1.424
BRCA2	-0.639
MKI67	3.757
E2F1	-3.504
CDKN2A	-2.339
EGFR	0.819
CDK4	1.887
CDK2	-1.779
CCND1	-4.419
MAPK3	1.612
CDKN2A	-1.344
PIK3CA	3.209
FGFR3	-4.022
AKT1	0.64
IL6	2.782
CCND1	2.655
CDK6	2.23
ABL1	0.591
MDM2	-0.288
SRC	-2.142
MAP2K1	0.648
CDK6	-0.33
KRAS	3.985
VEGFA	0.453
MAP2K2	4.92
FGFR3	-0.606
MAPK1	-1.18
SMAD4	-0.384
AKT1	-2.809
CXCL8	-1.792
PIK3CA	4.032
MKI67	3.912
MET	0.79
CDK4	3.095
JUN	4.447
AKT1	-3.792
FOS	1.138
TNF	1.305
NFKB1	-0.795
GATA3	-3.169
IL10	-3.1
KRAS	-1.911
SHC1	3.204
FGFR2	-2.833
FGFR2	3.202
BRCA1	-3.538
SMAD4	-3.182
NRAS	-0.815
CCNE1	-4.856
MAPK3	2.346
LCK	-4.763
E2F1	0.497
MET	0.925
PTEN	3.505
BRCA2	-3.843
JAK2	-3.145
RAF1	4.994
FGFR3	2.136
BRAF	-1.662
CDK2	-3.977
CDKN2A	4.801
CDKN1A	4.486
IL10	-0.764
FGFR3	-4.218
CDK4	1.71
REL	4.144
ABL1	-4.216
FGFR1	-2.263
FGFR3	0.725
VHL	-1.457
MKI67	3.425
KIT	-4.889
SHC1	3.812
CDK4	3.879
BRCA1	-2.712
E2F2	4.54
VEGFA	3.241
SYK	2.165
E2F2	3.67
JUN	-1.803
GRB2	0.761
CDKN2A	3.056
MAPK1	2.619
NOTCH1	-2.731
BRCA1	-1.557
APC	-4.972
SMAD4	-4.488
CDKN1A	-4.921
EGFR	-3.508
BRAF	-3.322
LCK	-1.919
SRC	4.676
TERT	-1.559
VHL	-1.091
RB1	1.311
GRB2	2.002
CCNE1	-4.559
SHC1	-3.819
PTEN	2.989
TERT	1.751
PTEN	-0.694
FGFR2	-1.499
APC	-3.947
EGFR	4.22
JAK2	2.174
IL6	3.084
NRAS	-3.282
JUN	2.349
LCK	-4.341
AKT1	1.392
NOTCH1	-0.074
MYC	-1.728
MAPK1	-2.375
RAF1	-3.285
CCNE1	1.811
FOS	-4.814
SRC	-1.815
FGFR1	-0.221
VEGFA	2.178
IL6	3.719
IL10	-0.11
CDKN1A	1.536
RB1	3.943
IL10	-2.505
PIK3CA	-3.3
EGFR	0.379
VEGFA	-4.362
CDKN2A	1.69
GRB2	1.708
CDKN1B	2.186
TP53	2.928
MAP2K1	-4.607
BRAF	0.551
TNF	2.166
NOTCH1	1.565
HRAS	2.647
SHC1	1.307
SRC	4.497
BRCA2	0.318
SYK	0.659
LCK	-0.216
TERT	-1.193
MDM2	2.078
STAT3	1.195
MDM2	3.953
E2F1	3.143
TNF	-2.125
HRAS	4.527
FOS	-3.718
FGFR3	-0.66
CDKN1A	2.376
NRAS	-1.653
MET	3.073
NOTCH1	-3.687
TP53	-1.56
CCND1	-4.027
NFKB1	-4.407
NRAS	-1.707
BRAF	4.46
VHL	3.345
REL	0.97
BRCA1	2.848
SHC1	4.941
VEGFA	4.397
SRC	2.229
APC	2.516
PIK3CA	-1.038
GRB2	1.414
FGFR2	-2.737
SOS1	-2.066
RAF1	-3.274
FOS	-4.962
CDKN1A	-2.403
MDM2	-2.846
STAT3	3.609
CCNE1	3.574
RAF1	1.272
CDKN1B	1.793
HIF1A	-0.502
CDKN2A	4.212
NOTCH1	-2.479
GRB2	3.071
FGFR3	3.637
REL	0.771
ERBB2	-1.534
CCNE1	-0.239
CDK4	-4.071
MET	-2.219
SHC1	1.495
BRCA2	-3.867
CDKN1B	4.219
CDH1	-2.67
SRC	4.779
CDKN2A	-1.825
MAPK1	-3.31
KRAS	1.133
E2F1	-1.068
IL6	-4.195
RB1	-0.74
CXCL8	-0.847
STAT3	-2.401
BRCA2	4.283
SOS1	-2.157
JAK2	4.065
CDKN1A	1.353
HRAS	-4.823
MKI67	1.545
BRCA2	-0.149
PCNA	-4.174
JAK2	0.789
CDK6	-4.618
IL10	-1.878
HRAS	-0.974
BRCA2	-4.033
CXCL8	-2.872
SMAD4	0.36
VHL	3.577
CDKN1B	1.533
JAK2	0.52
GATA3	0.407
PIK3CA	-2.525
CCND1	1.546
CCND1	-4.486
MAP2K2	0.445
CDH1	0.94
IL10	-1.148
NOTCH1	1.197
CDKN2A	-0.571
MDM2	3.99
FGFR2	4.38
SYK	4.606
E2F1	-1.737
CDK6	-3.164
E2F2	0.423
CDK6	-0.251
REL	-2.084
JUN	-1.946
MKI67	-4.785
RB1	4.565
FGFR2	3.808
SYK	1.86
IL6	2.512
MDM2	1.482
MAPK1	2.356
HRAS	1.746
ABL1	3.782
NOTCH1	2.948
PCNA	-2.324
VEGFA	3.958
ABL1	-3.005
SOS1	-2.067
NRAS	3.729
REL	2.423
RAF1	-1.647
VEGFA	-0.494
IL6	-0.141
MAPK3	-4.869
TP53	-4.786
PIK3CA	-4.894
TERT	-4.89
E2F2	3.459
ABL1	4.066
CDK6	-0.667
VEGFA	-4.001
TP53	-1.702
TP53	4.027
APC	1.269
IL10	-1.666
HRAS	4.167
ERBB2	3.35
PIK3CA	1.935
JUN	2.704
CCNE1	-3.669
RAF1	0.833
MAPK1	0.349
CDKN2A	-2.594
PIK3CA	1.898
PTEN	-1.247
MAPK3	-3.289
NFKB1	3.846
FOS	2.251
EGFR	4.734
PIK3CA	-2.838
TERT	-0.801
PIK3CA	-3.133
ERBB2	-0.781
SRC	-1.202
PTEN	-2.576
MKI67	2.586
RB1	0.479
ERBB2	-4.627
CDK2	1.321
CCNE1	1.723
E2F2	1.504
GRB2	-1.808
MDM2	-3.514
IL10	-0.069
LCK	-4.638
SHC1	-0.547
CDKN1A	3.53
VHL	4.527
SHC1	-2.479
TP53	1.765
MDM2	-0.081
CDK4	-0.173
BRAF	-4.808
IL6	-4.348
FGFR3	2.567
VEGFA	-1.034
APC	1.725
MAPK3	-0.63
BRAF	1.429
MAPK3	2.946
CCND1	0.616
PTEN	-0.377
KRAS	3.036
MAP2K2	-0.926
NRAS	1.846
FGFR1	0.136
MYC	3.572
MYC	-2.472
ERBB2	3.268
PCNA	-3.958
CDK4	-1.18
FGFR1	0.673
MKI67	-0.926
CDK6	-3.24
GRB2	-4.834
NOTCH1	-1.537
PIK3CA	-1.311
VHL	2.327
TERT	3.94
MYC	1.892
RAF1	2.842
E2F2	3.072
FGFR3	1.739
E2F1	2.371
VEGFA	2.002
MYC	-3.745
MKI67	4.191
KIT	-3.177
FGFR1	4.945
STAT3	-2.204
VHL	2.644
CCNE1	3.711
IL10	-1.849
NOTCH1	-3.538
TP53	2.441
PDGFRA	-3.669
CCND1	-2.067
HIF1A	4.656
TNF	4.573
MAP2K2	1.567
RAF1	-0.137
IL10	0.254
SYK	0.233
CXCL8	3.898
